"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Audience_age";"Sentences";"Words";"Full context";"Example source"
"-отсишуд конеВ ,конев йевс ен зор";"хынженс";"роз не свей венок, Венок душисто-";"снежных";" ";"роз, Ты тоже в мире одинок";"А. А. Ахматова. «Весенний воздух властно смел…» (1906)";"А. А. Ахматова";"1889";"«Весенний воздух властно смел…»";"1906";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"2";"23";"Из белых роз не свей венок, Венок душисто-снежных роз, Ты тоже в мире одинок, Ненужной жизни тяжесть нес.   Начало 1900-х годов ― lt; 1906> Крым";"4dcdecf8765a31f4cfc79dd05df3fd45:1:8"
" овилдучирп кат нибур йывисарк И ,лапо";"ла";"опал, И красивый рубин так причудливо";"ал";".  ";"";"А. А. Ахматова. «На руке его много блестящих колец …» (1907)";"А. А. Ахматова";"1889";"«На руке его много блестящих колец …»";"1907";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"6";"62";"Там ликует алмаз, и мечтает опал, И красивый рубин так причудливо ал.";"a81750abbc8a150d2c894608e393f4d9:1:11"
" ан оН";"йонделб";"Но на";"бледной";" ";"руке нет кольца моего, Никому, никогда";"А. А. Ахматова. «На руке его много блестящих колец …» (1907)";"А. А. Ахматова";"1889";"«На руке его много блестящих колец …»";"1907";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"6";"62";"Но на бледной руке нет кольца моего, Никому, никогда не отдам я его.";"a81750abbc8a150d2c894608e393f4d9:2:2"
" чул ацясем оге лавокс енМ";"йотолоз";"Мне сковал его месяца луч";"золотой";" ";"И, во сне надевая, шепнул мне";"А. А. Ахматова. «На руке его много блестящих колец …» (1907)";"А. А. Ахматова";"1889";"«На руке его много блестящих колец …»";"1907";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"6";"62";"Мне сковал его месяца луч золотой И, во сне надевая, шепнул мне с мольбой:";"a81750abbc8a150d2c894608e393f4d9:3:5"
" ― хыньлис актыП ,тичум яантсоря ьтямап отч";"йынненго";"что память яростная мучит, Пытка сильных ―";"огненный";" ";"недуг! ―";"А. А. Ахматова. «И когда друг друга проклинали…» (1909)";"А. А. Ахматова";"1889";"«И когда друг друга проклинали…»";"1909";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"";"60";"И когда друг друга проклинали В страсти, раскаленной добела, Оба мы еще не понимали, Как земля для двух людей мала, И что память яростная мучит, Пытка сильных ― огненный недуг! ―";"3672b54fb80a7233f0a6793322f01259:0:27"
" ынлов В ьсилитсупо ыцьлап оннежалб И";"хылтевс";"И блаженно пальцы опустились В волны";"светлых";", ";"словно лен, волос.";"А. А. Ахматова. «По полу лучи луны разлились…» (1909)";"А. А. Ахматова";"1889";"«По полу лучи луны разлились…»";"1909";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"6";"56";"Сердце сразу замерло, зажглось, И блаженно пальцы опустились В волны светлых, словно лен, волос.";"d0c5c6268dc489ce6715d3401c9ccffb:1:10"
" ан И ,акчипс ончот ,алунселб яинлоМ";"молксут";"Молния блеснула, точно спичка, И на";"тусклом";" ";"небе умерла.";"А. А. Ахматова. «По полу лучи луны разлились…» (1909)";"А. А. Ахматова";"1889";"«По полу лучи луны разлились…»";"1909";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"6";"56";"Молния блеснула, точно спичка, И на тусклом небе умерла.";"d0c5c6268dc489ce6715d3401c9ccffb:2:6"
" В";"молеб";"В";"белом";" ";"платье ласковая птичка На кровати у";"А. А. Ахматова. «По полу лучи луны разлились…» (1909)";"А. А. Ахматова";"1889";"«По полу лучи луны разлились…»";"1909";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"6";"56";"В белом платье ласковая птичка На кровати у меня спала.";"d0c5c6268dc489ce6715d3401c9ccffb:3:1"
" сажу теашунв енМ ,року йывилйетаз еН";"йынмет";"Не затейливый укор, Мне внушает ужас";"темный";" ";"Твой спокойный ясный взор.1909";"А. А. Ахматова. «То ли я с тобой осталась…» (1909)";"А. А. Ахматова";"1889";"«То ли я с тобой осталась…»";"1909";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"2";"35";"И не вздох печали томной, Не затейливый укор, Мне внушает ужас темный Твой спокойный ясный взор.1909";"727b674aa164b9a32594e1d9a21ed64c:1:11"
" йовТ йынмет сажу теашунв енМ ,року";"йынйокопс";"укор, Мне внушает ужас темный Твой";"спокойный";" ";"ясный взор.1909";"А. А. Ахматова. «То ли я с тобой осталась…» (1909)";"А. А. Ахматова";"1889";"«То ли я с тобой осталась…»";"1909";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"2";"35";"И не вздох печали томной, Не затейливый укор, Мне внушает ужас темный Твой спокойный ясный взор.1909";"727b674aa164b9a32594e1d9a21ed64c:1:13"
" пурт йом ,ретев ,ьшидиВ";"йындолох";"Видишь, ветер, мой труп";"холодный";", ";"И некому руки сложить.";"А. А. Ахматова. «Хорони, хорони меня, ветер…» (1909)";"А. А. Ахматова";"1889";"«Хорони, хорони меня, ветер…»";"1909";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"6";"67";"Видишь, ветер, мой труп холодный, И некому руки сложить.";"a54b9f9429c75d0158fa4856cae1ba8a:3:4"
" утэ йоркаЗ";"юунреч";"Закрой эту";"черную";" ";"рану Покровом вечерней тьмы И вели";"А. А. Ахматова. «Хорони, хорони меня, ветер…» (1909)";"А. А. Ахматова";"1889";"«Хорони, хорони меня, ветер…»";"1909";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"6";"67";"Закрой эту черную рану Покровом вечерней тьмы И вели голубому туману Надо мною читать псалмы.";"a54b9f9429c75d0158fa4856cae1ba8a:4:2"
" илев И ымьт йенречев моворкоП унар";"умобулог";"рану Покровом вечерней тьмы И вели";"голубому";" ";"туману Надо мною читать псалмы.";"А. А. Ахматова. «Хорони, хорони меня, ветер…» (1909)";"А. А. Ахматова";"1889";"«Хорони, хорони меня, ветер…»";"1909";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"6";"67";"Закрой эту черную рану Покровом вечерней тьмы И вели голубому туману Надо мною читать псалмы.";"a54b9f9429c75d0158fa4856cae1ba8a:4:9"
" омипретсен каК";"алеб";"Как нестерпимо";"бела";" ";"Штора на белом окне.";"А. А. Ахматова. «Подушка уже горяча…» [Два стихотворения, 1] (1909-1910)";"А. А. Ахматова";"1889";"«Подушка уже горяча…»";"1909-1910";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"7";"37";"Как нестерпимо бела Штора на белом окне.";"268d787a11966a9f9fa9a51c9a17de01:5:2"
" ан аротШ алеб омипретсен каК";"молеб";"Как нестерпимо бела Штора на";"белом";" ";"окне.";"А. А. Ахматова. «Подушка уже горяча…» [Два стихотворения, 1] (1909-1910)";"А. А. Ахматова";"1889";"«Подушка уже горяча…»";"1909-1910";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"7";"37";"Как нестерпимо бела Штора на белом окне.";"268d787a11966a9f9fa9a51c9a17de01:5:5"
" ьтсевзИ еынвенд ичул олкетс ьзовкС";"хылеб";"Сквозь стекло лучи дневные Известь";"белых";" ";"стен пестрят…";"А. А. Ахматова. «Тот же голос, тот же взгляд…» [Два стихотворения, 2] (1909-1910)";"А. А. Ахматова";"1889";"«Тот же голос, тот же взгляд…»";"1909-1910";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"5";"31";"Сквозь стекло лучи дневные Известь белых стен пестрят…";"6b3c826e71278094eae086df78829d33:3:5"
" нО ― учул умонноко ьсюлоМ ";"неделб";"Молюсь оконному лучу ― Он";"бледен";", ";"тонок, прям.";"А. А. Ахматова. «Молюсь оконному лучу …» (03.11.1909)";"А. А. Ахматова";"1889";"«Молюсь оконному лучу …»";"03.11.1909";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"5";"48";"Молюсь оконному лучу ― Он бледен, тонок, прям.";"0395a561a17fd3c7a83f50f291e76ac1:0:4"
" меом екинйомокур аН";"аленелезоП";"На рукомойнике моем";"Позеленела";" ";"медь.";"А. А. Ахматова. «Молюсь оконному лучу …» (03.11.1909)";"А. А. Ахматова";"1889";"«Молюсь оконному лучу …»";"03.11.1909";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"5";"48";"Сегодня я с утра молчу, А сердце ― пополам. На рукомойнике моем Позеленела медь. Но так играет луч на нем, Что весело глядеть.";"0395a561a17fd3c7a83f50f291e76ac1:2:3"
" киндзарп онволс нО йотсуп енимарх йотэ";"йотолоз";"этой храмине пустой Он словно праздник";"золотой";" ";"И утешенье мне.  3 ноября 1909 Киев";"А. А. Ахматова. «Молюсь оконному лучу …» (03.11.1909)";"А. А. Ахматова";"1889";"«Молюсь оконному лучу …»";"03.11.1909";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"5";"48";"Такой невинный и простой В вечерней тишине, Но в этой храмине пустой Он словно праздник золотой И утешенье мне.  3 ноября 1909 Киев";"0395a561a17fd3c7a83f50f291e76ac1:4:15"
" яаннелдеМ яависарк тевиж йеом етанмок В";"яанреч";"В комнате моей живет красивая Медленная";"черная";" ";"змея; Как и я, такая же";"А. А. Ахматова. «В комнате моей живет красивая…» (1910)";"А. А. Ахматова";"1889";"«В комнате моей живет красивая…»";"1910";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"6";"70";"В комнате моей живет красивая Медленная черная змея; Как и я, такая же ленивая И холодная, как я.";"dd06cdbf1de4d87fa475efad5c64285b:0:6"
" И яавинел еж яакат ,я и";"яандолох";"и я, такая же ленивая И";"холодная";", ";"как я.";"А. А. Ахматова. «В комнате моей живет красивая…» (1910)";"А. А. Ахматова";"1889";"«В комнате моей живет красивая…»";"1910";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"6";"70";"В комнате моей живет красивая Медленная черная змея; Как и я, такая же ленивая И холодная, как я.";"dd06cdbf1de4d87fa475efad5c64285b:0:15"
" у ервок аН еындуч икзакс юагалс";"огонсарк";"слагаю сказки чудные На ковре у";"красного";" ";"огня, А она глазами изумрудными Равнодушно";"А. А. Ахматова. «В комнате моей живет красивая…» (1910)";"А. А. Ахматова";"1889";"«В комнате моей живет красивая…»";"1910";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"6";"70";"Вечером слагаю сказки чудные На ковре у красного огня, А она глазами изумрудными Равнодушно смотрит на меня.";"dd06cdbf1de4d87fa475efad5c64285b:1:7"
" имазалг ано А ,янго огонсарк у";"имындурмузи";"у красного огня, А она глазами";"изумрудными";" ";"Равнодушно смотрит на меня.";"А. А. Ахматова. «В комнате моей живет красивая…» (1910)";"А. А. Ахматова";"1889";"«В комнате моей живет красивая…»";"1910";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"6";"70";"Вечером слагаю сказки чудные На ковре у красного огня, А она глазами изумрудными Равнодушно смотрит на меня.";"dd06cdbf1de4d87fa475efad5c64285b:1:12"
" атнел теазлопс адгот И";"яанреч";"И тогда сползает лента";"черная";" ";"С низко обнаженного плеча.1910";"А. А. Ахматова. «В комнате моей живет красивая…» (1910)";"А. А. Ахматова";"1889";"«В комнате моей живет красивая…»";"1910";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"6";"70";"И тогда сползает лента черная С низко обнаженного плеча.1910";"dd06cdbf1de4d87fa475efad5c64285b:5:4"
" онволС ,йыншудзов довс юонм одаН ,олгжобо";"еенис";"обожгло, Надо мною свод воздушный, Словно";"синее";" ";"стекло;";"А. А. Ахматова. «Жарко веет ветер душный…» (1910)";"А. А. Ахматова";"1889";"«Жарко веет ветер душный…»";"1910";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"5";"40";"Жарко веет ветер душный, Солнце руки обожгло, Надо мною свод воздушный, Словно синее стекло;";"2d741371ca155ba6e66353d52375a88a:0:12"
" В ястинсирп енм яндогес отК";"йортсеп";"Кто сегодня мне приснится В";"пестрой";" ";"сетке гамака?    Январь 1910 Киев";"А. А. Ахматова. «Жарко веет ветер душный…» (1910)";"А. А. Ахматова";"1889";"«Жарко веет ветер душный…»";"1910";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"5";"40";"Кто сегодня мне приснится В пестрой сетке гамака?    Январь 1910 Киев";"2d741371ca155ba6e66353d52375a88a:4:5"
" ";"йиниС";"";"Синий";" ";"вечер.";"А. А. Ахматова. «Синий вечер. Ветры кротко стихли…» (1910)";"А. А. Ахматова";"1889";"«Синий вечер. Ветры кротко стихли…»";"1910";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"10";"75";"Синий вечер.";"be04cc9eb780e3130fd5d8f8b5f8b242:0:0"
" ,илхитс окторк ыртеВ ";"йикрЯ";"Ветры кротко стихли,";"Яркий";" ";"свет зовет меня домой.";"А. А. Ахматова. «Синий вечер. Ветры кротко стихли…» (1910)";"А. А. Ахматова";"1889";"«Синий вечер. Ветры кротко стихли…»";"1910";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"10";"75";"Ветры кротко стихли, Яркий свет зовет меня домой.";"be04cc9eb780e3130fd5d8f8b5f8b242:1:3"
" ыдзевЗ ,илатс йоненоров атевц обеН";"овотам";"Небо цвета вороненой стали, Звезды";"матово";"-";"бледны.";"А. А. Ахматова. «Синий вечер. Ветры кротко стихли…» (1910)";"А. А. Ахматова";"1889";"«Синий вечер. Ветры кротко стихли…»";"1910";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"10";"75";"Небо цвета вороненой стали, Звезды матово-бледны.";"be04cc9eb780e3130fd5d8f8b5f8b242:7:5"
"-овотам ыдзевЗ ,илатс йоненоров атевц обеН";"ынделб";"Небо цвета вороненой стали, Звезды матово-";"бледны";". ";"";"А. А. Ахматова. «Синий вечер. Ветры кротко стихли…» (1910)";"А. А. Ахматова";"1889";"«Синий вечер. Ветры кротко стихли…»";"1910";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"10";"75";"Небо цвета вороненой стали, Звезды матово-бледны.";"be04cc9eb780e3130fd5d8f8b5f8b242:7:6"
" веоквел текуб усен Я";"хылеб";"Я несу букет левкоев";"белых";". ";"";"А. А. Ахматова. «Синий вечер. Ветры кротко стихли…» (1910)";"А. А. Ахматова";"1889";"«Синий вечер. Ветры кротко стихли…»";"1910";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"10";"75";"Я несу букет левкоев белых.";"be04cc9eb780e3130fd5d8f8b5f8b242:8:4"
" тенорТ ,хылемсен кур зи ытевц яреб";"юулпет";"беря цветы из рук несмелых, Тронет";"теплую";" ";"ладонь.   Сентябрь 1910 Царское Село";"А. А. Ахматова. «Синий вечер. Ветры кротко стихли…» (1910)";"А. А. Ахматова";"1889";"«Синий вечер. Ветры кротко стихли…»";"1910";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"10";"75";"Для того в них тайный скрыт огонь, Кто, беря цветы из рук несмелых, Тронет теплую ладонь.   Сентябрь 1910 Царское Село";"be04cc9eb780e3130fd5d8f8b5f8b242:9:14"
" аН";"хынделб";"На";"бледных";" ";"щеках розовеет румянец…";"А. А. Ахматова. «Тебе, Афродита, слагаю танец…» (1910)";"А. А. Ахматова";"1889";"«Тебе, Афродита, слагаю танец…»";"1910";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"10";"56";"Тебе, Афродита, слагаю танец, Танец слагаю тебе. На бледных щеках розовеет румянец… Улыбнись моей судьбе.";"fa880f388f5db1064f27315162a6f0c6:1:1"
"";"йыволиЛ";"";"Лиловый";" ";"туман пробрался в долины.";"А. А. Ахматова. «Тебе, Афродита, слагаю танец…» (1910)";"А. А. Ахматова";"1889";"«Тебе, Афродита, слагаю танец…»";"1910";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"10";"56";"По ночам ты сходила в чертоги Фрины, Войди в мой тихий дом. Лиловый туман пробрался в долины. Луна над твоим холмом.";"fa880f388f5db1064f27315162a6f0c6:4:0"
" молеч даН ,яьлырк как ,икур ,яьлырк";"йытситолоз";"крылья, руки, как крылья, Над челом";"золотистый";" ";"нимб.   Январь 1910";"А. А. Ахматова. «Тебе, Афродита, слагаю танец…» (1910)";"А. А. Ахматова";"1889";"«Тебе, Афродита, слагаю танец…»";"1910";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"10";"56";"Руки, как крылья, руки, как крылья, Над челом золотистый нимб.   Январь 1910";"fa880f388f5db1064f27315162a6f0c6:9:8"
" ябет алажС";"мытситолоз";"Сжала тебя";"золотистым";" ";"овалом Узкая, старая рама.";"А. А. Ахматова. Старый портрет  («Сжала тебя золотистым овалом…») (1910)";"А. А. Ахматова";"1889";"Старый портрет  («Сжала тебя золотистым овалом…»)";"1910";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"9";"72";"Сжала тебя золотистым овалом Узкая, старая рама.";"8eda2f5516261dc5e1191d1f6427098f:2:2"
" с йобот аз ргеН";"мыбулог";"Негр за тобой с";"голубым";" ";"опахалом, Стройная белая дама.";"А. А. Ахматова. Старый портрет  («Сжала тебя золотистым овалом…») (1910)";"А. А. Ахматова";"1889";"Старый портрет  («Сжала тебя золотистым овалом…»)";"1910";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"9";"72";"Негр за тобой с голубым опахалом, Стройная белая дама.";"8eda2f5516261dc5e1191d1f6427098f:3:4"
" яанйортС ,молахапо мыбулог с йобот аз";"яалеб";"за тобой с голубым опахалом, Стройная";"белая";" ";"дама.";"А. А. Ахматова. Старый портрет  («Сжала тебя золотистым овалом…») (1910)";"А. А. Ахматова";"1889";"Старый портрет  («Сжала тебя золотистым овалом…»)";"1910";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"9";"72";"Негр за тобой с голубым опахалом, Стройная белая дама.";"8eda2f5516261dc5e1191d1f6427098f:3:7"
" ;омярпу-оннемдан ьширтомС ,ичелп еынжен иьчивед-оп";"олксуТ";"по-девичьи нежные плечи, Смотришь надменно-упрямо;";"Тускло";" ";"мерцают высокие свечи, Словно в преддверии";"А. А. Ахматова. Старый портрет  («Сжала тебя золотистым овалом…») (1910)";"А. А. Ахматова";"1889";"Старый портрет  («Сжала тебя золотистым овалом…»)";"1910";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"9";"72";"Тонки по-девичьи нежные плечи, Смотришь надменно-упрямо; Тускло мерцают высокие свечи, Словно в преддверии храма.";"8eda2f5516261dc5e1191d1f6427098f:4:7"
"-оваворк шаН ,ястеаничан но ― адут иртомсоП";"йынреч";"Посмотри туда ― он начинается, Наш кроваво-";"черный";" ";"карнавал.  1910-е годы Царское Село";"А. А. Ахматова. «Жрицами божественной бессмыслицы…» (1910-1919)";"А. А. Ахматова";"1889";"«Жрицами божественной бессмыслицы…»";"1910-1919";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"";"40";"Посмотри туда ― он начинается, Наш кроваво-черный карнавал.  1910-е годы Царское Село";"3fcb211661d4d38da1f3593e64d8bcfc:2:6"
" ьзовкС алылп юьдебел авалс И ";"йытситолоз";"И слава лебедью плыла Сквозь";"золотистый";" ";"дым.";"А. А. Ахматова. «И слава лебедью плыла…» (1910-1919)";"А. А. Ахматова";"1889";"«И слава лебедью плыла…»";"1910-1919";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"2";"14";"И слава лебедью плыла Сквозь золотистый дым.";"9d925cdb758961bae372e8436b255582:0:5"
" каК ,йиндоговон киндзарп голод каК";"леб";"Как долог праздник новогодний, Как";"бел";" ";"в окошках снежный цвет.";"А. А. Ахматова. «Как долог праздник новогодний…» (1910-1919)";"А. А. Ахматова";"1889";"«Как долог праздник новогодний…»";"1910-1919";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"6";"80";"Как долог праздник новогодний, Как бел в окошках снежный цвет.";"66fc9f8426ef8fbfb82fd0bd466bb432:1:5"
" хакшоко в леб каК ,йиндоговон киндзарп";"йынженс";"праздник новогодний, Как бел в окошках";"снежный";" ";"цвет.";"А. А. Ахматова. «Как долог праздник новогодний…» (1910-1919)";"А. А. Ахматова";"1889";"«Как долог праздник новогодний…»";"1910-1919";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"6";"80";"Как долог праздник новогодний, Как бел в окошках снежный цвет.";"66fc9f8426ef8fbfb82fd0bd466bb432:1:8"
" яанимопирп мод И";"йынмет";"И дом припоминая";"темный";" ";"На левом берегу Невы, Смотрю, как";"А. А. Ахматова. «Как долог праздник новогодний…» (1910-1919)";"А. А. Ахматова";"1889";"«Как долог праздник новогодний…»";"1910-1919";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"6";"80";"И дом припоминая темный На левом берегу Невы, Смотрю, как ласковы и томны Те розы, что прислали Вы.  1910-е годы";"66fc9f8426ef8fbfb82fd0bd466bb432:5:3"
"";"онйокопС";"";"Спокойно";" ";"знаю ― в этом тайна Неугасимого огня.";"А. А. Ахматова. «Сочтенных дней осталось мало…» (1910-1919)";"А. А. Ахматова";"1889";"«Сочтенных дней осталось мало…»";"1910-1919";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"";"34";"Спокойно знаю ― в этом тайна Неугасимого огня.";"0fefbfc7be98d00565f3133c11f9093e:1:0"
" и юуктуЖ[ узарс ен ее ыт";"]юунмет";"ты ее не сразу [Жуткую и";"темную]";" ";"заразу, Ту, что люди нежно называют";"А. А. Ахматова. «Угадаешь ты ее не сразу…» (1910-1919)";"А. А. Ахматова";"1889";"«Угадаешь ты ее не сразу…»";"1910-1919";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"10";"105";"Угадаешь ты ее не сразу [Жуткую и темную] заразу, Ту, что люди нежно называют, От которой люди умирают.";"d9d2363e7383c96ae78d4e2f684cb63d:0:7"
" йынсалта ябет аН";"йынреч";"На тебя атласный";"черный";" ";"полог.";"А. А. Ахматова. «Угадаешь ты ее не сразу…» (1910-1919)";"А. А. Ахматова";"1889";"«Угадаешь ты ее не сразу…»";"1910-1919";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"10";"105";"И накинет душная истома На тебя атласный черный полог. Будет сон твой тяжек и недолог…";"d9d2363e7383c96ae78d4e2f684cb63d:6:3"
" хапаз кодалС ";"хинис";"Сладок запах";"синих";" ";"виноградин…";"А. А. Ахматова. «Сладок запах синих виноградин…» (16.01.1910)";"А. А. Ахматова";"1889";"«Сладок запах синих виноградин…»";"16.01.1910";"художественная";"";"";"";"1998";"книга";"омонимия не снята";"";"9";"58";"Сладок запах синих виноградин… Дразнит опьяняющая даль.";"1e3e189929b82593926f948ad00c4d7f:0:2"
