"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Audience_age";"Sentences";"Words";"Full context";"Example source"
" ызоР моколом с мокйат лашем йедораЧ";"еынреч";"Чародей мешал тайком с молоком Розы";"черные";", ";"лиловые И жемчужным порошком и пушком";"О. Э. Мандельштам. «На откосы, Волга, хлынь, Волга, хлынь…» (04.07.1937)";"О. Э. Мандельштам";"1891";"«На откосы, Волга, хлынь, Волга, хлынь…»";"04.07.1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"5";"109";"Чародей мешал тайком с молоком Розы черные, лиловые И жемчужным порошком и пушком Вызвал щеки холодовые, Вызвал губы шепотком…";"901dff08659179b51d4deb4a1197b5af:1:6"
" ,еынреч ызоР моколом с мокйат лашем";"еыволил";"мешал тайком с молоком Розы черные,";"лиловые";" ";"И жемчужным порошком и пушком Вызвал";"О. Э. Мандельштам. «На откосы, Волга, хлынь, Волга, хлынь…» (04.07.1937)";"О. Э. Мандельштам";"1891";"«На откосы, Волга, хлынь, Волга, хлынь…»";"04.07.1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"5";"109";"Чародей мешал тайком с молоком Розы черные, лиловые И жемчужным порошком и пушком Вызвал щеки холодовые, Вызвал губы шепотком…";"901dff08659179b51d4deb4a1197b5af:1:7"
" агереБ угом ен ,угом ен ьтедив";"еынелез-орес";"видеть не могу, не могу Берега";"серо-зеленые";": ";"Словно ходят по лугу, по лугу";"О. Э. Мандельштам. «На откосы, Волга, хлынь, Волга, хлынь…» (04.07.1937)";"О. Э. Мандельштам";"1891";"«На откосы, Волга, хлынь, Волга, хлынь…»";"04.07.1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"5";"109";"Ах, я видеть не могу, не могу Берега серо-зеленые: Словно ходят по лугу, по лугу Косари умалишенные, Косит ливень луг в дугу.  4 июля 1937";"901dff08659179b51d4deb4a1197b5af:4:8"
" имянетсик йымеавибу худзов В имылец ― оншудзов";"имылеб";"воздушно ― целыми В воздух убиваемый кистенями";"белыми";".  ";"";"О. Э. Мандельштам. «На меня нацелилась груша да черемуха …» (04.05.1937)";"О. Э. Мандельштам";"1891";"«На меня нацелилась груша да черемуха …»";"04.05.1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"5";"53";"С цвету ли, с размаха ли бьет воздушно ― целыми В воздух убиваемый кистенями белыми.";"e5cd712f0cfc05c0b73f48a44e673464:3:13"
" в как ,оген зеБ ,мыншулсоп и";"йонреч";"и послушным, Без него, как в";"черной";" ";"книге, Страшно в мире душном…";"О. Э. Мандельштам. «Клейкой клятвой липнут почки…» (02.05.1937)";"О. Э. Мандельштам";"1891";"«Клейкой клятвой липнут почки…»";"02.05.1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"13";"137";"Будет муж прямой и дикий Кротким и послушным, Без него, как в черной книге, Страшно в мире душном…";"091d8852f24c901111ead634fe2619da:4:12"
" И яьтурп имактев ястявонатс И ,раш";"юончолом";"шар, И становятся ветками прутья И";"молочною";" ";"выдумкой пар.  30 апреля 1937";"О. Э. Мандельштам. «Я к губам подношу эту зелень — …» (30.04.1937)";"О. Э. Мандельштам";"1891";"«Я к губам подношу эту зелень — …»";"30.04.1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"";"52";"А квакуши, как шарики ртути, Голосами сцепляются в шар, И становятся ветками прутья И молочною выдумкой пар.  30 апреля 1937";"0005169fbe5cafd1221e5401ef479a24:2:14"
" вортсо килев имарачноГ ";"йинис";"Гончарами велик остров";"синий";" ― ";"Крит зеленый, ― запекся их дар В";"О. Э. Мандельштам. «Гончарами велик остров синий — …» (21.03.1937)";"О. Э. Мандельштам";"1891";"«Гончарами велик остров синий — …»";"21.03.1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"5";"88";"Гончарами велик остров синий ― Крит зеленый, ― запекся их дар В землю звонкую: слышишь дельфиньих Плавников их подземный удар?";"8f47570ac05b550acd20e8cc6eb10b35:0:3"
" тирК ― йинис вортсо килев имарачноГ ";"йынелез";"Гончарами велик остров синий ― Крит";"зеленый";", ― ";"запекся их дар В землю звонкую";"О. Э. Мандельштам. «Гончарами велик остров синий — …» (21.03.1937)";"О. Э. Мандельштам";"1891";"«Гончарами велик остров синий — …»";"21.03.1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"5";"88";"Гончарами велик остров синий ― Крит зеленый, ― запекся их дар В землю звонкую: слышишь дельфиньих Плавников их подземный удар?";"8f47570ac05b550acd20e8cc6eb10b35:0:5"
" вортсо ,еом енм йадто ыТ";"йинис";"Ты отдай мне мое, остров";"синий";", ";"Крит летучий, отдай мне мой труд";"О. Э. Мандельштам. «Гончарами велик остров синий — …» (21.03.1937)";"О. Э. Мандельштам";"1891";"«Гончарами велик остров синий — …»";"21.03.1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"5";"88";"Ты отдай мне мое, остров синий, Крит летучий, отдай мне мой труд И сосцами текучей богини Воскорми обожженный сосуд.";"8f47570ac05b550acd20e8cc6eb10b35:2:5"
" удобо меовт ан адеб отЧ ,ястялз";"онреЧ";"злятся, Что беда на твоем ободу";"Черно";"-";"красном ― и некому взяться За тебя";"О. Э. Мандельштам. Кувшин  («Длинной жажды должник виноватый…») (21.03.1937)";"О. Э. Мандельштам";"1891";"Кувшин  («Длинной жажды должник виноватый…»)";"21.03.1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"";"40";"Флейты свищут, клевещут и злятся, Что беда на твоем ободу Черно-красном ― и некому взяться За тебя, чтоб поправить беду.  21 марта 1937";"f2d1379ed1e1799d45c465c8999ec7f2:2:10"
"-онреЧ удобо меовт ан адеб отЧ";"монсарк";"Что беда на твоем ободу Черно-";"красном";" ― ";"и некому взяться За тебя, чтоб";"О. Э. Мандельштам. Кувшин  («Длинной жажды должник виноватый…») (21.03.1937)";"О. Э. Мандельштам";"1891";"Кувшин  («Длинной жажды должник виноватый…»)";"21.03.1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"";"40";"Флейты свищут, клевещут и злятся, Что беда на твоем ободу Черно-красном ― и некому взяться За тебя, чтоб поправить беду.  21 марта 1937";"f2d1379ed1e1799d45c465c8999ec7f2:2:11"
" ан ыВ етиврозар еом ецдрес ешчуЛ";"огенис";"Лучше сердце мое разорвите Вы на";"синего";" ";"звона куски…";"О. Э. Мандельштам. «Заблудился я в небе — что делать?..» (09.03.1937-19.03.1937)";"О. Э. Мандельштам";"1891";"«Заблудился я в небе — что делать?..»";"09.03.1937-19.03.1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"6";"81";"Не кладите же мне, не кладите Остроласковый лавр на виски, Лучше сердце мое разорвите Вы на синего звона куски…";"d8442d51b6992fc14198dce720afe4b8:4:16"
" хымаС ,иншеровкс ,ытонреч ,интябулоГ";"хинис";"Голубятни, черноты, скворешни, Самых";"синих";" ";"теней образцы, ― Лед весенний, лед вышний";"О. Э. Мандельштам. «Заблудился я в небе — что делать?..» (09.03.1937-19.03.1937)";"О. Э. Мандельштам";"1891";"«Заблудился я в небе — что делать?..»";"09.03.1937-19.03.1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"5";"72";"Голубятни, черноты, скворешни, Самых синих теней образцы, ― Лед весенний, лед вышний, лед вешний ― Облака, обаянья борцы, ― Тише: тучу ведут под уздцы.  9―19 марта 1937";"03a94fa7160bcd1943b5a42a5057f3e2:4:4"
" дан иьпутсоксолп В алегнА йыннешуранен тсом";"йотлеж";"мост ненарушенный Ангела В плоскоступьи над";"желтой";" ";"водой, ―";"О. Э. Мандельштам. Рим  («Где лягушки фонтанов, расквакавшись…») (16.03.1937)";"О. Э. Мандельштам";"1891";"Рим  («Где лягушки фонтанов, расквакавшись…»)";"16.03.1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"7";"159";"Древность легкая, летняя, наглая, С жадным взглядом и плоской ступней, Словно мост ненарушенный Ангела В плоскоступьи над желтой водой, ―";"1b94a95f89b729652a639a6e0b603aa4:2:17"
"";"йобулоГ";"";"Голубой";", ";"онелепленный, пепельный, В барабанном наросте домов";"О. Э. Мандельштам. Рим  («Где лягушки фонтанов, расквакавшись…») (16.03.1937)";"О. Э. Мандельштам";"1891";"Рим  («Где лягушки фонтанов, расквакавшись…»)";"16.03.1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"7";"159";"Голубой, онелепленный, пепельный, В барабанном наросте домов ― Город, ласточкой купола лепленный Из проулков и из сквозняков, ― Превратили в убийства питомник Вы, коричневой крови наемники, Италийские чернорубашечники, Мертвых цезарей злые щенки…";"1b94a95f89b729652a639a6e0b603aa4:3:0"
" ,ыВ кинмотип автсйибу в илитарверП ― ,вокянзовкс";"йовенчирок";"сквозняков, ― Превратили в убийства питомник Вы,";"коричневой";" ";"крови наемники, Италийские чернорубашечники, Мертвых цезарей";"О. Э. Мандельштам. Рим  («Где лягушки фонтанов, расквакавшись…») (16.03.1937)";"О. Э. Мандельштам";"1891";"Рим  («Где лягушки фонтанов, расквакавшись…»)";"16.03.1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"7";"159";"Голубой, онелепленный, пепельный, В барабанном наросте домов ― Город, ласточкой купола лепленный Из проулков и из сквозняков, ― Превратили в убийства питомник Вы, коричневой крови наемники, Италийские чернорубашечники, Мертвых цезарей злые щенки…";"1b94a95f89b729652a639a6e0b603aa4:3:21"
" идюл тудуБ";"еындолох";"Будут люди";"холодные";", ";"хилые Убивать, холодать, голодать И в";"О. Э. Мандельштам. Стихи о неизвестном солдате  («Этот воздух пусть будет свидетелем…») (01.03.1937-15.03.1937)";"О. Э. Мандельштам";"1891";"Стихи о неизвестном солдате  («Этот воздух пусть будет свидетелем…»)";"01.03.1937-15.03.1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"29";"497";"Будут люди холодные, хилые Убивать, холодать, голодать И в своей знаменитой могиле Неизвестный положен солдат.";"fa2266e64e561cf5317b34089ab7f400:6:2"
" ,имыннедарку имадорог тясив И ырим итэ";"имытолоЗ";"эти миры И висят городами украденными,";"Золотыми";" ";"обмолвками, ябедами, Ядовитого холода ягодами ― Растяжимых";"О. Э. Мандельштам. Стихи о неизвестном солдате  («Этот воздух пусть будет свидетелем…») (01.03.1937-15.03.1937)";"О. Э. Мандельштам";"1891";"Стихи о неизвестном солдате  («Этот воздух пусть будет свидетелем…»)";"01.03.1937-15.03.1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"29";"497";"Шевелящимися виноградинами Угрожают нам эти миры И висят городами украденными, Золотыми обмолвками, ябедами, Ядовитого холода ягодами ― Растяжимых созвездий шатры, Золотые созвездий жиры…";"fa2266e64e561cf5317b34089ab7f400:9:10"
" ,имадебя ,имаквломбо имытолоЗ ,имыннедарку имадорог тясив";"оготиводЯ";"висят городами украденными, Золотыми обмолвками, ябедами,";"Ядовитого";" ";"холода ягодами ― Растяжимых созвездий шатры, Золотые";"О. Э. Мандельштам. Стихи о неизвестном солдате  («Этот воздух пусть будет свидетелем…») (01.03.1937-15.03.1937)";"О. Э. Мандельштам";"1891";"Стихи о неизвестном солдате  («Этот воздух пусть будет свидетелем…»)";"01.03.1937-15.03.1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"29";"497";"Шевелящимися виноградинами Угрожают нам эти миры И висят городами украденными, Золотыми обмолвками, ябедами, Ядовитого холода ягодами ― Растяжимых созвездий шатры, Золотые созвездий жиры…";"fa2266e64e561cf5317b34089ab7f400:9:13"
" ,ырташ йидзевзос хымижятсаР ― имадогя адолох оготиводЯ";"еытолоЗ";"Ядовитого холода ягодами ― Растяжимых созвездий шатры,";"Золотые";" ";"созвездий жиры…";"О. Э. Мандельштам. Стихи о неизвестном солдате  («Этот воздух пусть будет свидетелем…») (01.03.1937-15.03.1937)";"О. Э. Мандельштам";"1891";"Стихи о неизвестном солдате  («Этот воздух пусть будет свидетелем…»)";"01.03.1937-15.03.1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"29";"497";"Шевелящимися виноградинами Угрожают нам эти миры И висят городами украденными, Золотыми обмолвками, ябедами, Ядовитого холода ягодами ― Растяжимых созвездий шатры, Золотые созвездий жиры…";"fa2266e64e561cf5317b34089ab7f400:9:19"
" йынненчарзорпо ,олсич теаничаН йетсорокс чул в";"йолтевС";"в луч скоростей Начинает число, опрозрачненный";"Светлой";" ";"болью и молью нулей.";"О. Э. Мандельштам. Стихи о неизвестном солдате  («Этот воздух пусть будет свидетелем…») (01.03.1937-15.03.1937)";"О. Э. Мандельштам";"1891";"Стихи о неизвестном солдате  («Этот воздух пусть будет свидетелем…»)";"01.03.1937-15.03.1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"29";"497";"Сквозь эфир десятично-означенный Свет размолотых в луч скоростей Начинает число, опрозрачненный Светлой болью и молью нулей.";"fa2266e64e561cf5317b34089ab7f400:10:12"
" йеншаречв ывтиб то И ,юовонбо йоньлыпотевс";"олтевс";"светопыльной обновою, И от битвы вчерашней";"светло";".  ";"";"О. Э. Мандельштам. Стихи о неизвестном солдате  («Этот воздух пусть будет свидетелем…») (01.03.1937-15.03.1937)";"О. Э. Мандельштам";"1891";"Стихи о неизвестном солдате  («Этот воздух пусть будет свидетелем…»)";"01.03.1937-15.03.1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"29";"497";"И за полем полей поле новое Треугольным летит журавлем, Весть летит светопыльной обновою, И от битвы вчерашней светло.";"fa2266e64e561cf5317b34089ab7f400:11:17"
" утевс тедуб янем тО ,еовон я";"олтевс";"я новое, От меня будет свету";"светло";".  ";"";"О. Э. Мандельштам. Стихи о неизвестном солдате  («Этот воздух пусть будет свидетелем…») (01.03.1937-15.03.1937)";"О. Э. Мандельштам";"1891";"Стихи о неизвестном солдате  («Этот воздух пусть будет свидетелем…»)";"01.03.1937-15.03.1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"29";"497";"Весть летит светопыльной обновою: ― Я не Лейпциг, я не Ватерло, Я не Битва Народов, я новое, От меня будет свету светло.";"fa2266e64e561cf5317b34089ab7f400:12:20"
" ьтуч-ьтуЧ яаворовя ьтсокроз ,яавенеся ьтсонсЯ";"яансарк";"Ясность ясеневая, зоркость яворовая Чуть-чуть";"красная";" ";"мчится в свой дом, Словно обмороками";"О. Э. Мандельштам. Стихи о неизвестном солдате  («Этот воздух пусть будет свидетелем…») (01.03.1937-15.03.1937)";"О. Э. Мандельштам";"1891";"Стихи о неизвестном солдате  («Этот воздух пусть будет свидетелем…»)";"01.03.1937-15.03.1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"29";"497";"Ясность ясеневая, зоркость яворовая Чуть-чуть красная мчится в свой дом, Словно обмороками затоваривая Оба неба с их тусклым огнем.";"fa2266e64e561cf5317b34089ab7f400:22:5"
" хи с абен абО яавиравотаз имакоромбо";"мылксут";"обмороками затоваривая Оба неба с их";"тусклым";" ";"огнем.";"О. Э. Мандельштам. Стихи о неизвестном солдате  («Этот воздух пусть будет свидетелем…») (01.03.1937-15.03.1937)";"О. Э. Мандельштам";"1891";"Стихи о неизвестном солдате  («Этот воздух пусть будет свидетелем…»)";"01.03.1937-15.03.1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"29";"497";"Ясность ясеневая, зоркость яворовая Чуть-чуть красная мчится в свой дом, Словно обмороками затоваривая Оба неба с их тусклым огнем.";"fa2266e64e561cf5317b34089ab7f400:22:17"
" ыботЧ ,мотсуп евтснартсорп в яьняабО арат";"еылеб";"тара Обаянья в пространстве пустом, Чтобы";"белые";" ";"звезды обратно Чуть-чуть красные мчались в";"О. Э. Мандельштам. Стихи о неизвестном солдате  («Этот воздух пусть будет свидетелем…») (01.03.1937-15.03.1937)";"О. Э. Мандельштам";"1891";"Стихи о неизвестном солдате  («Этот воздух пусть будет свидетелем…»)";"01.03.1937-15.03.1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"29";"497";"Для того ль заготовлена тара Обаянья в пространстве пустом, Чтобы белые звезды обратно Чуть-чуть красные мчались в свой дом?";"fa2266e64e561cf5317b34089ab7f400:25:10"
" ьтуч-ьтуЧ онтарбо ыдзевз еылеб ыботЧ ,мотсуп";"еынсарк";"пустом, Чтобы белые звезды обратно Чуть-чуть";"красные";" ";"мчались в свой дом?";"О. Э. Мандельштам. Стихи о неизвестном солдате  («Этот воздух пусть будет свидетелем…») (01.03.1937-15.03.1937)";"О. Э. Мандельштам";"1891";"Стихи о неизвестном солдате  («Этот воздух пусть будет свидетелем…»)";"01.03.1937-15.03.1937";"художественная";"";"";"";"1991";"книга";"омонимия не снята";"";"29";"497";"Для того ль заготовлена тара Обаянья в пространстве пустом, Чтобы белые звезды обратно Чуть-чуть красные мчались в свой дом?";"fa2266e64e561cf5317b34089ab7f400:25:14"
