"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Audience_age";"Sentences";"Words";"Full context";"Example source"
" и йывилтевирп ,йогурд месвоС ― ,наеко йынреч";"йинис";"черный океан, ― Совсем другой, приветливый и";"синий";"…  ";"";"З. Н. Гиппиус. «Вот новый Дант в последний Круг пробрался…» [Последний круг (и новый Дант в аду), 2] (1945)";"З. Н. Гиппиус";"1869";"«Вот новый Дант в последний Круг пробрался…»";"1945";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"613";"4821";"И был бы, может быть, пред нами ныне Не этот мутный, черный океан, ― Совсем другой, приветливый и синий…";"fb6fb65b167d52b056cb1fbc11e92bdd:152:17"
" вировогорП ,укур ляндоп окьлот мотсеж мынтсалв";"онйокопс";"властным жестом только поднял руку, Проговорив";"спокойно";": «";"Вижу, нет, Еще не пережили вы";"З. Н. Гиппиус. «Вот новый Дант в последний Круг пробрался…» [Последний круг (и новый Дант в аду), 2] (1945)";"З. Н. Гиппиус";"1869";"«Вот новый Дант в последний Круг пробрался…»";"1945";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"613";"4821";"И властным жестом только поднял руку, Проговорив спокойно: «Вижу, нет, Еще не пережили вы разлуку";"fb6fb65b167d52b056cb1fbc11e92bdd:232:7"
"-онмыд ьсалибыдзв анлоВ гурдв И ";"йонреч";"И вдруг Волна вздыбилась дымно-";"черной";" ";"пеной,";"З. Н. Гиппиус. «Вот новый Дант в последний Круг пробрался…» [Последний круг (и новый Дант в аду), 2] (1945)";"З. Н. Гиппиус";"1869";"«Вот новый Дант в последний Круг пробрался…»";"1945";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"613";"4821";"И вдруг Волна вздыбилась дымно-черной пеной,";"fb6fb65b167d52b056cb1fbc11e92bdd:274:5"
" гурков адгок оннебосО ,ямерб ,оварп ,еокат";"онмет";"такое, право, бремя, Особенно когда вокруг";"темно";".  ";"";"З. Н. Гиппиус. «Вот новый Дант в последний Круг пробрался…» [Последний круг (и новый Дант в аду), 2] (1945)";"З. Н. Гиппиус";"1869";"«Вот новый Дант в последний Круг пробрался…»";"1945";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"613";"4821";"Молчание ― такое, право, бремя, Особенно когда вокруг темно.";"fb6fb65b167d52b056cb1fbc11e92bdd:306:7"
" в И йеншедзен ытоншот ынлов тюапиксВ";"йынреч";"Вскипают волны тошноты нездешней И в";"черный";" ";"рассыпаются туман.";"З. Н. Гиппиус. «Вскипают волны тошноты нездешней…» [Последний круг (и новый Дант в аду), 1] (1945)";"З. Н. Гиппиус";"1869";"«Вскипают волны тошноты нездешней…»";"1945";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"1260";"11288";"Вскипают волны тошноты нездешней И в черный рассыпаются туман.";"4c30fb9520d14f9d10346ae17f85acd8:2:6"
"-оньлинреЧ йовиж елмез ан ладев отк";"хынреч";"кто ведал на земле живой Чернильно-";"черных";" ";"вод тяжелое кипенье И был, хотя";"З. Н. Гиппиус. «Вскипают волны тошноты нездешней…» [Последний круг (и новый Дант в аду), 1] (1945)";"З. Н. Гиппиус";"1869";"«Вскипают волны тошноты нездешней…»";"1945";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"1260";"11288";"А тот, кто ведал на земле живой Чернильно-черных вод тяжелое кипенье И был, хотя бы час, в их тошном окруженьи ― Кто ощущал в себе размерный их прибой, Тот понял все: он обречен заране Познать, что там ― в подземном океане, ― Там нет ни Времени, ни звуков, только мгла, Что кучею по черному легла.";"4c30fb9520d14f9d10346ae17f85acd8:11:8"
" оп юечук отЧ ,алгм окьлот ,вокувз";"умонреч";"звуков, только мгла, Что кучею по";"черному";" ";"легла.";"З. Н. Гиппиус. «Вскипают волны тошноты нездешней…» [Последний круг (и новый Дант в аду), 1] (1945)";"З. Н. Гиппиус";"1869";"«Вскипают волны тошноты нездешней…»";"1945";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"1260";"11288";"А тот, кто ведал на земле живой Чернильно-черных вод тяжелое кипенье И был, хотя бы час, в их тошном окруженьи ― Кто ощущал в себе размерный их прибой, Тот понял все: он обречен заране Познать, что там ― в подземном океане, ― Там нет ни Времени, ни звуков, только мгла, Что кучею по черному легла.";"4c30fb9520d14f9d10346ae17f85acd8:11:51"
" кат ёсВ";"онреч";"Всё так";"черно";", ";"черней китайской туши…";"З. Н. Гиппиус. «Вскипают волны тошноты нездешней…» [Последний круг (и новый Дант в аду), 1] (1945)";"З. Н. Гиппиус";"1869";"«Вскипают волны тошноты нездешней…»";"1945";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"1260";"11288";"Я не бывал в подобной темноте, Едва вошел ― и сразу в слепоте. Всё так черно, черней китайской туши… И вы здесь не один.";"4c30fb9520d14f9d10346ae17f85acd8:23:2"
" ,онреч кат ёсВ";"йенреч";"Всё так черно,";"черней";" ";"китайской туши…";"З. Н. Гиппиус. «Вскипают волны тошноты нездешней…» [Последний круг (и новый Дант в аду), 1] (1945)";"З. Н. Гиппиус";"1869";"«Вскипают волны тошноты нездешней…»";"1945";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"1260";"11288";"Я не бывал в подобной темноте, Едва вошел ― и сразу в слепоте. Всё так черно, черней китайской туши… И вы здесь не один.";"4c30fb9520d14f9d10346ae17f85acd8:23:3"
" кат ыдовс ишав оН";"ынреч";"Но ваши своды так";"черны";" ";"и мрачны, И сразу я не";"З. Н. Гиппиус. «Вскипают волны тошноты нездешней…» [Последний круг (и новый Дант в аду), 1] (1945)";"З. Н. Гиппиус";"1869";"«Вскипают волны тошноты нездешней…»";"1945";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"1260";"11288";"Но ваши своды так черны и мрачны, И сразу я не мог сообразить, Что лучше вы расскажете мне сами, Что знаете, и что такое с вами».";"4c30fb9520d14f9d10346ae17f85acd8:36:4"
" и ,нлов еьначаК ,намбо аз ,явотог";"йынреч";"готовя, за обман, Качанье волн, и";"черный";" ";"океан, И всё, что видите, и";"З. Н. Гиппиус. «Вскипают волны тошноты нездешней…» [Последний круг (и новый Дант в аду), 1] (1945)";"З. Н. Гиппиус";"1869";"«Вскипают волны тошноты нездешней…»";"1945";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"1260";"11288";"Я знал, они ― предупрежденье, Но, не желая думать, ― забывал, Сам для себя готовя, за обман, Качанье волн, и черный океан, И всё, что видите, и даже ту Неизъяснимую вам тошноту, Которую я тоже знал когда-то…";"4c30fb9520d14f9d10346ae17f85acd8:66:18"
" и оншартс едг ,ьседз окьлот И";"онмет";"И только здесь, где страшно и";"темно";", ";"Уж распрямляется слегка оно.";"З. Н. Гиппиус. «Вскипают волны тошноты нездешней…» [Последний круг (и новый Дант в аду), 1] (1945)";"З. Н. Гиппиус";"1869";"«Вскипают волны тошноты нездешней…»";"1945";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"1260";"11288";"И только здесь, где страшно и темно, Уж распрямляется слегка оно.";"4c30fb9520d14f9d10346ae17f85acd8:83:6"
" тотэ и ,наеко И вотог лыб";"йынреч";"был готов И океан, и этот";"черный";" ";"кров.";"З. Н. Гиппиус. «Вскипают волны тошноты нездешней…» [Последний круг (и новый Дант в аду), 1] (1945)";"З. Н. Гиппиус";"1869";"«Вскипают волны тошноты нездешней…»";"1945";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"1260";"11288";"Должно быть, для меня уж был готов И океан, и этот черный кров.";"4c30fb9520d14f9d10346ae17f85acd8:174:11"
" еН йонм одереп ьрепет ,ьтыб тежом";"йынреч";"может быть, теперь передо мной Не";"черный";" ";"был бы океан, а синий, И";"З. Н. Гиппиус. «Вскипают волны тошноты нездешней…» [Последний круг (и новый Дант в аду), 1] (1945)";"З. Н. Гиппиус";"1869";"«Вскипают волны тошноты нездешней…»";"1945";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"1260";"11288";"Насколько был бы я тогда невинней, И, может быть, теперь передо мной Не черный был бы океан, а синий, И сам я сделался б уже иной…";"4c30fb9520d14f9d10346ae17f85acd8:187:13"
" а ,наеко ыб лыб йынреч еН";"йинис";"Не черный был бы океан, а";"синий";", ";"И сам я сделался б уже";"З. Н. Гиппиус. «Вскипают волны тошноты нездешней…» [Последний круг (и новый Дант в аду), 1] (1945)";"З. Н. Гиппиус";"1869";"«Вскипают волны тошноты нездешней…»";"1945";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"1260";"11288";"Насколько был бы я тогда невинней, И, может быть, теперь передо мной Не черный был бы океан, а синий, И сам я сделался б уже иной…";"4c30fb9520d14f9d10346ae17f85acd8:187:18"
"-онмыд ьсалибыдзв анлоВ гурдв оН ";"йонреч";"Но вдруг Волна вздыбилась дымно-";"черной";" ";"пеной И вместе их обоих залила.";"З. Н. Гиппиус. «Вскипают волны тошноты нездешней…» [Последний круг (и новый Дант в аду), 1] (1945)";"З. Н. Гиппиус";"1869";"«Вскипают волны тошноты нездешней…»";"1945";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"1260";"11288";"Но вдруг Волна вздыбилась дымно-черной пеной И вместе их обоих залила.";"4c30fb9520d14f9d10346ae17f85acd8:232:5"
" :ыдеб йеовс ыт ляноп ен ещЕ";"анреЧ";"Еще не понял ты своей беды:";"Черна";" ";"вода, а всё же и под";"З. Н. Гиппиус. «Вскипают волны тошноты нездешней…» [Последний круг (и новый Дант в аду), 1] (1945)";"З. Н. Гиппиус";"1869";"«Вскипают волны тошноты нездешней…»";"1945";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"1260";"11288";"Еще не понял ты своей беды: Черна вода, а всё же и под ней Не угасает твой огонь не жгущий, ― Ожесточающий сердца живущих.";"4c30fb9520d14f9d10346ae17f85acd8:433:6"
" ,яьнещумзов зеБ";"ондолох";"Без возмущенья,";"холодно";" ";"следи:";"З. Н. Гиппиус. Прежде. Теперь  («Не отдавайся никакой надежде…») (1940)";"З. Н. Гиппиус";"1869";"Прежде. Теперь  («Не отдавайся никакой надежде…»)";"1940";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"10";"84";"И скорлупа еще не вся отпала, Лишь треснула немного: погляди, Змея головку только показала, Но и змеенышей в яйце не мало… Без возмущенья, холодно следи: Ползут они скользящей чередою, Ползут, ползут за первою змеею, Свивая туго за кольцом кольцо…";"adc00a7d6543777c922102a288cde9ca:6:2"
" тюакревС";"еылеб";"Сверкают";"белые";" ";"огни.";"З. Н. Гиппиус. Придверник  («Дойти бы только до порога!..») (1938)";"З. Н. Гиппиус";"1869";"Придверник  («Дойти бы только до порога!..»)";"1938";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"30";"234";"И вижу: дальше нет дороги. Сверкают белые огни. Старик, у двери, на пороге Рукой мне машет: «отдохни!»";"216f975d4884d6d4305adf7b7603addb:6:1"
" юокшемсу с ,киратС";"йоворус";"Старик, с усмешкою";"суровой";", ";"Поток речей моих прервал: «Не торопись!";"З. Н. Гиппиус. Придверник  («Дойти бы только до порога!..») (1938)";"З. Н. Гиппиус";"1869";"Придверник  («Дойти бы только до порога!..»)";"1938";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"30";"234";"Старик, с усмешкою суровой, Поток речей моих прервал: «Не торопись!";"216f975d4884d6d4305adf7b7603addb:12:3"
" кселбтО";"йынелез";"Отблеск";"зеленый";" ";"в дверном стекле, поют внизу автомобили.";"З. Н. Гиппиус. В новой  («Отблеск зеленый в дверном стекле…») (1918-1938)";"З. Н. Гиппиус";"1869";"В новой  («Отблеск зеленый в дверном стекле…»)";"1918-1938";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"6";"40";"Отблеск зеленый в дверном стекле, поют внизу автомобили.";"de8a19d4077a43ef01cc823c28c79e31:1:1"
" с акчовед теагеБ";"йонсарк";"Бегает девочка с";"красной";" ";"лейкой, пустоглазая, ― и проворен бег; а";"З. Н. Гиппиус. Лазарь  («Нет, волглая земля, сырая…») (1918-1938)";"З. Н. Гиппиус";"1869";"Лазарь  («Нет, волглая земля, сырая…»)";"1918-1938";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"20";"146";"Бегает девочка с красной лейкой, пустоглазая, ― и проворен бег; а ее погоняют: спеши-ка, лей-ка, сюда, на камень, на доски, в снег!";"70ccb1d3c9846e4e841fa880306035f6:2:3"
" мовежурк ястимыд генс а ,антяп ьбыз";"мижыр";"зыбь пятна, а снег дымится кружевом";"рыжим";", ";"рыжим, рыжим, рыжей вина.";"З. Н. Гиппиус. Лазарь  («Нет, волглая земля, сырая…») (1918-1938)";"З. Н. Гиппиус";"1869";"Лазарь  («Нет, волглая земля, сырая…»)";"1918-1938";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"20";"146";"На камне ― смуглость и зыбь пятна, а снег дымится кружевом рыжим, рыжим, рыжим, рыжей вина.";"70ccb1d3c9846e4e841fa880306035f6:4:10"
" ,мижыр мовежурк ястимыд генс а ,антяп";"мижыр";"пятна, а снег дымится кружевом рыжим,";"рыжим";", ";"рыжим, рыжей вина.";"З. Н. Гиппиус. Лазарь  («Нет, волглая земля, сырая…») (1918-1938)";"З. Н. Гиппиус";"1869";"Лазарь  («Нет, волглая земля, сырая…»)";"1918-1938";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"20";"146";"На камне ― смуглость и зыбь пятна, а снег дымится кружевом рыжим, рыжим, рыжим, рыжей вина.";"70ccb1d3c9846e4e841fa880306035f6:4:11"
" ,мижыр ,мижыр мовежурк ястимыд генс а";"мижыр";"а снег дымится кружевом рыжим, рыжим,";"рыжим";", ";"рыжей вина.";"З. Н. Гиппиус. Лазарь  («Нет, волглая земля, сырая…») (1918-1938)";"З. Н. Гиппиус";"1869";"Лазарь  («Нет, волглая земля, сырая…»)";"1918-1938";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"20";"146";"На камне ― смуглость и зыбь пятна, а снег дымится кружевом рыжим, рыжим, рыжим, рыжей вина.";"70ccb1d3c9846e4e841fa880306035f6:4:12"
" ,мижыр ,мижыр ,мижыр мовежурк ястимыд генс";"йежыр";"снег дымится кружевом рыжим, рыжим, рыжим,";"рыжей";" ";"вина.";"З. Н. Гиппиус. Лазарь  («Нет, волглая земля, сырая…») (1918-1938)";"З. Н. Гиппиус";"1869";"Лазарь  («Нет, волглая земля, сырая…»)";"1918-1938";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"20";"146";"На камне ― смуглость и зыбь пятна, а снег дымится кружевом рыжим, рыжим, рыжим, рыжей вина.";"70ccb1d3c9846e4e841fa880306035f6:4:13"
" ан ,иьчлов ымя ан ясйубюл ,ж";"еежыр";"ж, любуйся на ямы волчьи, на";"рыжее";" ";"кружево на снегу.";"З. Н. Гиппиус. Лазарь  («Нет, волглая земля, сырая…») (1918-1938)";"З. Н. Гиппиус";"1869";"Лазарь  («Нет, волглая земля, сырая…»)";"1918-1938";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"20";"146";"Что ж, любуйся на ямы волчьи, на рыжее кружево на снегу.";"70ccb1d3c9846e4e841fa880306035f6:6:7"
" авежурк ,узарс йокйел с укчовед ыб";"огежыр";"бы девочку с лейкой сразу, кружева";"рыжего";" ";"не стерпел.";"З. Н. Гиппиус. Лазарь  («Нет, волглая земля, сырая…») (1918-1938)";"З. Н. Гиппиус";"1869";"Лазарь  («Нет, волглая земля, сырая…»)";"1918-1938";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"20";"146";"Когда б не истлел, выгнал бы девочку с лейкой сразу, кружева рыжего не стерпел.";"70ccb1d3c9846e4e841fa880306035f6:8:11"
" И ";"яантевцонзар";"И";"разноцветная";" ";"медленно меркнущая морская даль.";"З. Н. Гиппиус. 8 ноября  («Тихие сумерки... И разноцветная…») (1933)";"З. Н. Гиппиус";"1869";"8 ноября  («Тихие сумерки... И разноцветная…»)";"1933";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"9";"56";"Тихие сумерки…  И разноцветная медленно меркнущая морская даль.";"a748f58608d36bc5ede04fea364e9454:2:1"
" ,яантевтозеб и яахит ежоТ";"овозор";"Тоже тихая и безответная,";"розово";"-";"серая во мне печаль.";"З. Н. Гиппиус. 8 ноября  («Тихие сумерки... И разноцветная…») (1933)";"З. Н. Гиппиус";"1869";"8 ноября  («Тихие сумерки... И разноцветная…»)";"1933";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"9";"56";"Тоже тихая и безответная, розово-серая во мне печаль.";"a748f58608d36bc5ede04fea364e9454:3:4"
"-овозор ,яантевтозеб и яахит ежоТ";"яарес";"Тоже тихая и безответная, розово-";"серая";" ";"во мне печаль.";"З. Н. Гиппиус. 8 ноября  («Тихие сумерки... И разноцветная…») (1933)";"З. Н. Гиппиус";"1869";"8 ноября  («Тихие сумерки... И разноцветная…»)";"1933";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"9";"56";"Тоже тихая и безответная, розово-серая во мне печаль.";"a748f58608d36bc5ede04fea364e9454:3:5"
" И";"еолпет";"И";"теплое";" ";"сиянье, И нежность, ― и Она.1933";"З. Н. Гиппиус. У маленькой Терезы  («Ряды, ряды невестных…») (1933)";"З. Н. Гиппиус";"1869";"У маленькой Терезы  («Ряды, ряды невестных…»)";"1933";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"10";"59";"И теплое сиянье, И нежность, ― и Она.1933";"e66802be7ea5c0ace00aea65efa90c9c:9:1"
" кат ьнед А ";"летевс";"А день так";"светел";". ";"";"З. Н. Гиппиус. Большевицкий сон  («Комната. Окна в какой-то сад…») (1932)";"З. Н. Гиппиус";"1869";"Большевицкий сон  («Комната. Окна в какой-то сад…»)";"1932";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"22";"128";"В комнате гости.  А день так светел. Я улыбаюсь, гостям я рад…";"0009b08b0c5aa0934a0fb8b0ca942456:5:3"
" и окдалГ";"онделб";"Гладко и";"бледно";" ";"что-то круглится.";"З. Н. Гиппиус. Большевицкий сон  («Комната. Окна в какой-то сад…») (1932)";"З. Н. Гиппиус";"1869";"Большевицкий сон  («Комната. Окна в какой-то сад…»)";"1932";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"22";"128";"Сверху у этих ― вот тебе раз! ― Гладко и бледно что-то круглится. Нету на гладком ни ртов, ни глаз: Это, что хочешь, только не лица.";"0009b08b0c5aa0934a0fb8b0ca942456:13:2"
" ,монтяп миовс мынселет йыджаК";"овозоР";"Каждый телесным своим пятном,";"Розово";"-";"желтым, ворочал мило.";"З. Н. Гиппиус. Большевицкий сон  («Комната. Окна в какой-то сад…») (1932)";"З. Н. Гиппиус";"1869";"Большевицкий сон  («Комната. Окна в какой-то сад…»)";"1932";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"22";"128";"Каждый телесным своим пятном, Розово-желтым, ворочал мило.";"0009b08b0c5aa0934a0fb8b0ca942456:16:4"
"-овозоР ,монтяп миовс мынселет йыджаК";"мытлеж";"Каждый телесным своим пятном, Розово-";"желтым";", ";"ворочал мило.";"З. Н. Гиппиус. Большевицкий сон  («Комната. Окна в какой-то сад…») (1932)";"З. Н. Гиппиус";"1869";"Большевицкий сон  («Комната. Окна в какой-то сад…»)";"1932";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"22";"128";"Каждый телесным своим пятном, Розово-желтым, ворочал мило.";"0009b08b0c5aa0934a0fb8b0ca942456:16:5"
" отч ,ледиву я гурдВ";"йынреч";"Вдруг я увидел, что";"черный";" ";"кот Тихо скользит меж толпой у";"З. Н. Гиппиус. Большевицкий сон  («Комната. Окна в какой-то сад…») (1932)";"З. Н. Гиппиус";"1869";"Большевицкий сон  («Комната. Окна в какой-то сад…»)";"1932";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"22";"128";"Вдруг я увидел, что черный кот Тихо скользит меж толпой у двери, Щурит глаза, раскрывает рот…";"0009b08b0c5aa0934a0fb8b0ca942456:19:4"
" ьтсуП ,йенморго ино тутсар ьтсуп оН";"еендолох";"Но пусть растут они огромней, Пусть";"холоднее";" ";"милый взор, Я только близость нашу";"З. Н. Гиппиус. Стены  («Ни на кого не променяю…») (18.12.1932)";"З. Н. Гиппиус";"1869";"Стены  («Ни на кого не променяю…»)";"18.12.1932";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"9";"63";"Но пусть растут они огромней, Пусть холоднее милый взор, Я только близость нашу помню, И солнце в окна, и простор!   18 декабря 1932";"78822d750eb69ffa5ddb8b7772c63867:7:6"
" килксв йичитП";"йонелез";"Птичий всклик";"зеленой";" ";"ночью отрывисто-строгий, лунный сверк зеленой";"З. Н. Гиппиус. В старом замке  («Птичий всклик зеленой ночью…») (1930)";"З. Н. Гиппиус";"1869";"В старом замке  («Птичий всклик зеленой ночью…»)";"1930";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"6";"38";"Птичий всклик зеленой ночью отрывисто-строгий, лунный сверк зеленой ночью креста при дороге…";"feb84578f1d54eeb49ae452d14ad1353:1:2"
" кревс йыннул ,йигортс-отсивырто юьчон йонелез";"йонелез";"зеленой ночью отрывисто-строгий, лунный сверк";"зеленой";" ";"ночью креста при дороге…";"З. Н. Гиппиус. В старом замке  («Птичий всклик зеленой ночью…») (1930)";"З. Н. Гиппиус";"1869";"В старом замке  («Птичий всклик зеленой ночью…»)";"1930";"художественная";"";"";"";"2006";"книга";"омонимия не снята";"";"6";"38";"Птичий всклик зеленой ночью отрывисто-строгий, лунный сверк зеленой ночью креста при дороге…";"feb84578f1d54eeb49ae452d14ad1353:1:8"
